"id","statuses_count","followers_count","friends_count","favourites_count","listed_count","retweet_count","reply_count","favorite_count","num_hashtags","num_urls","num_mentions"
"15350901","4728","625","580","27","25","21.27","0.10","0.03","0.17","0.52","0.55"
"15391421","22540","2065","1125","0","64","0.99","0.39","0.19","0.48","0.23","0.93"
"15453624","425","111","160","21","1","216.65","0.36","0.05","0.36","0.21","0.76"
"15455450","28","78","203","3","2","49.54","0.08","0.00","0.54","0.23","1.27"
"15530118","57","21","42","1","1","58.14","0.14","0.14","0.25","0.65","0.59"
"15622858","442","34","112","0","0","9.36","0.10","0.01","1.04","0.52","0.29"
"15788159","8618","349","823","7","7","1.57","0.01","0.01","0.01","0.91","0.55"
"15836275","732","85","338","16","3","70.59","0.10","0.01","0.60","0.33","0.84"
"15873303","38781","623","323","1209","22","4.42","0.64","0.19","0.11","0.05","1.02"
"15922136","42218","626","676","92","17","251.89","0.13","0.02","0.46","0.49","0.68"
"16002194","1836","1405","197","1","70","4.14","0.54","0.33","0.44","0.26","0.99"
"16043064","36911","202","133","268","8","33.07","0.66","0.04","0.06","0.09","0.87"
"16093829","10451","1265","323","38","24","5.56","0.20","0.06","0.99","0.15","0.29"
"16183526","588","139","401","505","3","27.54","0.11","0.06","0.54","0.35","0.57"
"16270293","357","86","152","7","2","4.08","0.28","0.14","0.43","0.27","0.58"
"16303802","422","62","396","13","1","83.81","0.05","0.01","0.13","0.16","0.51"
"16591972","2784","256","873","284","2","18.05","0.04","0.00","0.33","0.42","0.86"
"16649518","84","43","110","2","1","0.11","0.06","0.03","0.49","0.78","0.25"
"16927266","823","43","109","5","1","51.80","0.09","0.01","0.64","0.40","0.62"
"17085112","4528","152","68","5","8","0.13","0.01","0.02","0.11","0.98","1.34"
"17283453","2185","481","249","131","19","26.55","0.38","0.12","0.51","0.26","0.57"
"17421795","3063","128","138","69","4","16.55","0.14","0.07","0.18","0.09","0.44"
"17426567","1513","350","1000","117","3","11.19","0.14","0.05","0.60","0.16","0.71"
"17498356","65","47","98","10","3","1.45","0.06","0.02","0.56","0.63","0.97"
"17654864","442","79","259","0","3","14.48","0.06","0.00","0.41","0.63","0.55"
"17844234","4883","106","416","126","3","65.89","0.05","0.04","0.32","0.24","1.13"
"17852114","350","86","131","116","3","33.56","0.23","0.03","0.81","0.30","0.75"
"17992531","175","60","66","4","5","218.20","0.17","0.04","0.30","0.22","0.45"
"18173213","3694","393","1047","6","8","0.73","0.03","0.00","0.13","1.01","0.47"
"18527544","9686","208","196","219","4","37.68","0.04","0.02","1.30","0.36","0.92"
"18671285","16427","555","755","8","18","6.19","0.29","0.02","0.56","0.06","0.78"
"18721974","2131","203","664","59","3","21.07","0.22","0.08","1.10","0.03","0.76"
"18735790","1006","85","121","19","1","66.77","0.07","0.01","0.16","0.22","0.44"
"18800245","1122","300","951","8","6","733.86","0.06","0.01","0.76","0.48","0.59"
"18874774","5352","70","72","11","1","61.35","0.05","0.00","0.33","0.16","0.80"
"19598248","1386","88","267","106","0","21.69","0.33","0.02","0.73","0.06","1.02"
"19701419","3941","482","555","288","13","12.80","0.16","0.09","1.06","0.56","1.17"
"19706832","1813","735","461","102","44","0.43","0.08","0.16","0.19","0.79","0.69"
"19861856","14941","947","699","771","72","35.18","0.42","0.08","0.11","0.34","0.98"
"19973780","1430","92","111","718","3","67.73","0.04","0.00","0.20","0.51","0.81"
"20303000","1526","176","383","72","4","69.50","0.16","0.06","0.33","0.08","0.45"
"20308222","3329","232","182","261","3","27.54","0.05","0.01","0.41","0.05","0.49"
"20542869","563","76","315","40","1","83.06","0.13","0.05","0.51","0.13","0.90"
"20681942","2488","561","892","103","24","46.53","0.04","0.03","0.84","0.37","0.60"
"21102000","18267","1964","2003","22732","4","225.54","0.40","0.31","0.31","0.08","1.03"
"21133252","116","90","396","0","1","29.47","0.10","0.00","0.29","0.53","0.65"
"21770069","15365","3813","1505","550","63","80.99","0.31","0.21","0.27","0.50","1.03"
"22015162","2885","132","313","143","1","5.54","0.45","0.12","0.35","0.17","0.69"
"22015750","2242","552","1446","13","8","12.57","0.11","0.01","0.83","0.13","0.94"
"22136015","4149","279","64","20","22","3.41","0.00","0.00","0.31","0.01","0.58"
"22203964","8384","2526","299","1178","41","274.25","0.67","0.46","0.39","0.20","0.87"
"22407164","37","7","27","4","0","7118.57","0.03","0.00","0.19","0.27","1.27"
"22508731","612","100","259","24","2","8.69","0.17","0.01","0.35","0.36","0.76"
"22521283","22346","4371","1182","56","243","0.80","0.52","0.26","0.39","0.43","0.96"
"22596491","210","53","120","1","0","3899.59","0.10","0.03","0.24","0.18","0.56"
"22598920","11933","26237","23813","614","716","3.52","0.81","0.65","0.30","0.48","1.52"
"22600059","5","11","5","0","0","0.00","0.00","0.00","0.20","0.40","0.60"
"22624920","47177","1699","1771","55","85","6.94","0.36","0.17","0.15","0.37","0.53"
"22627606","660","126","407","0","0","7.06","0.04","0.00","0.37","0.57","0.15"
"22710614","14","0","2","0","0","0.00","0.00","0.00","0.07","0.00","0.14"
"22752192","177","18","97","1","0","12.74","0.46","0.01","0.26","0.22","1.00"
"22840934","2769","272","155","129","12","122.09","0.21","0.07","0.20","0.27","0.95"
"22970058","37936","2097","2039","61","48","15.05","0.13","0.06","0.23","0.72","0.62"
"22985259","5287","849","1846","117","3","21.15","0.16","0.04","0.46","0.13","0.96"
"22994885","6422","615","376","29","63","84.89","0.34","0.12","0.82","0.41","0.93"
"23748269","2275","165","285","181","4","426.46","0.39","0.04","0.63","0.11","1.11"
"23770754","10","26","35","0","0","0.30","0.20","0.00","0.50","0.50","0.40"
"23847948","3551","87","174","7","2","2.98","0.08","0.01","0.40","0.06","0.24"
"24176877","4551","1538","1059","67","45","1.10","0.07","0.27","0.21","0.70","0.59"
"24352106","282","12","36","6","0","8.18","0.25","0.05","0.38","0.03","0.86"
"24510304","493","47","80","24","0","34.36","0.05","0.01","0.49","0.17","0.26"
"25046383","700","168","205","5","6","3.09","0.21","0.01","0.29","0.07","0.65"
"25442408","1012","283","268","15","3","23.62","0.06","0.02","0.49","0.36","0.63"
"25484842","1158","301","837","27","6","19.36","0.06","0.03","0.21","0.18","0.93"
"25911628","1706","134","257","0","2","636.46","0.14","0.02","0.63","0.49","0.84"
"26232444","103","45","66","0","0","35.32","0.05","0.00","0.04","0.02","0.27"
"26261259","187","24","60","12","1","22.92","0.02","0.01","0.21","0.27","0.41"
"26771352","189","35","178","6","0","15.33","0.06","0.04","0.62","0.07","0.81"
"27241975","3720","179","154","6","2","62.67","0.14","0.02","0.39","0.21","0.71"
"27315878","1517","410","1324","1","8","0.08","0.01","0.01","4.86","1.17","0.93"
"27422705","1566","110","295","71","1","5.12","0.12","0.02","0.57","0.13","0.43"
"27636956","1672","627","1089","11","4","8.09","0.41","0.12","0.59","0.06","0.85"
"27887098","969","69","210","233","1","66.20","0.12","0.03","0.44","0.05","0.41"
"28313453","7307","378","239","2620","30","34.12","0.13","0.04","0.65","0.33","0.77"
"28342883","4240","1012","1449","578","25","15.55","0.15","0.03","0.55","0.27","0.88"
"28363979","74","16","42","88","0","21.01","0.05","0.09","0.31","0.14","0.84"
"28845598","6866","463","330","2180","5","87.61","0.50","0.34","0.12","0.10","0.62"
"29500667","31546","151","301","294","2","9.08","0.34","0.05","0.26","0.09","0.76"
"29510629","966","69","318","3","0","1134.63","0.25","0.00","0.22","0.12","0.69"
"29646177","28808","2638","1743","1021","39","7.75","0.79","0.68","0.84","0.10","0.97"
"29742445","2083","331","570","47","14","53.60","0.06","0.05","0.62","0.33","1.04"
"30062603","386","88","205","25","1","35.28","0.10","0.01","0.53","0.14","0.57"
"30638954","4304","253","320","29","6","11.97","0.13","0.08","0.23","0.32","0.87"
"31102741","3763","1169","1642","32","7","2.29","0.25","0.15","1.57","0.03","0.71"
"31107779","133","43","90","8","0","679.95","0.26","0.00","0.27","0.39","0.80"
"31135311","177","53","136","1","1","182.92","0.01","0.03","0.36","0.40","0.57"
"31162918","522","319","793","10","11","9.74","0.05","0.01","0.24","0.31","0.49"
"31379656","2035","45","200","4","1","0.55","0.01","0.00","0.01","0.86","0.08"
"32025215","30547","445","489","304","16","3.57","0.35","0.03","0.16","0.03","0.68"
"32130104","6175","362","318","181","11","28.03","0.04","0.02","0.42","0.54","1.14"
"32204918","348","262","1513","28","1","11.29","0.12","0.04","0.61","0.09","0.64"
"33516491","1018","68","264","42","0","102.32","0.13","0.16","0.94","0.30","0.56"
"33679344","2979","87","282","3","1","48.38","0.01","0.01","0.88","0.26","0.29"
"33747826","70","11","16","0","1","0.00","0.14","0.01","0.30","0.16","0.37"
"33950570","484","232","431","10","0","556.69","0.04","0.01","0.43","0.26","0.74"
"34355343","2190","46","122","15","0","141.23","0.08","0.03","0.47","0.07","0.68"
"34580222","2206","103","203","6","1","4.06","0.01","0.01","0.75","0.44","0.56"
"34897604","116","22","49","16","0","157.00","0.13","0.04","0.60","0.10","0.65"
"35737313","482","26","73","5","0","11.20","0.06","0.03","0.92","0.31","0.62"
"36190135","344","49","20","37","0","11.56","0.15","0.07","0.30","0.13","0.72"
"36286962","2402","893","256","386","18","8.50","0.17","0.23","0.63","0.34","0.83"
"36381609","1805","258","191","4","14","8.72","0.08","0.02","0.26","0.40","0.68"
"36727238","748","85","460","80","1","1177.90","0.12","0.05","0.74","0.35","0.92"
"37186955","554","50","87","11","1","2059.27","0.10","0.03","0.29","0.13","0.36"
"37204587","2848","127","192","151","5","23.80","0.31","0.05","0.35","0.06","0.46"
"37539436","34917","1161","194","2","28","7.02","0.51","0.14","0.31","0.09","1.09"
"37733715","3397","173","390","3","2","18.48","0.07","0.01","0.42","0.44","0.57"
"37889070","5561","587","295","4","9","16.15","0.22","0.11","0.32","0.05","0.48"
"37922072","3526","257","473","8","1","19.70","0.19","0.04","0.25","0.34","0.41"
"38002859","371","413","70","9","6","17.24","0.25","0.14","0.83","0.12","0.68"
"38223194","1361","149","463","289","2","72.70","0.20","0.02","1.04","0.07","0.84"
"38730407","887","280","502","13","1","3.57","0.23","0.06","0.59","0.11","0.83"
"38972677","3276","125","549","224","2","168.02","0.10","0.01","0.62","0.32","0.88"
"39201963","8995","507","562","165","16","31.43","0.09","0.07","0.53","0.69","0.70"
"39588706","5","3","9","2","0","151.67","0.00","0.00","0.00","0.00","0.67"
"39721490","971","48","112","8","1","42.16","0.06","0.01","0.35","0.44","0.52"
"39748948","8173","231","433","413","3","0.16","0.01","0.03","1.17","1.00","0.14"
"40337017","1104","627","1036","37","1","7.13","0.10","0.06","0.30","0.50","0.64"
"41780152","728","120","406","16","1","1.39","0.08","0.02","0.61","0.42","0.38"
"41785738","350","46","115","240","1","5.43","0.03","0.02","0.50","0.14","0.87"
"42676920","9626","508","1153","3819","0","11.73","0.46","0.43","0.43","0.05","1.00"
"42754744","4736","414","1196","166","2","27.00","0.23","0.10","1.01","0.23","0.75"
"43069058","732","191","656","1","1","26.09","0.05","0.01","0.90","0.52","0.31"
"43775439","9096","212","152","49","3","58.03","0.17","0.05","0.36","0.23","0.61"
"43870029","516","46","96","28","0","469.06","0.10","0.02","0.60","0.19","0.67"
"43964510","8635","1707","1376","3266","67","1.92","0.35","0.17","0.67","0.32","1.20"
"44042861","2935","184","302","1","5","4.03",\N,"0.01","0.46","0.13","0.59"
"44335261","1030","369","202","1","13","27.44",\N,"0.09","0.42","0.38","1.28"
"44358439","373","15","36","0","0","6.61","0.06","0.00","0.25","0.51","0.26"
"44451302","2035","209","168","216","2","9.53",\N,"0.07","0.94","0.29","1.19"
"44604091","783","126","102","26","4","6.23","0.13","0.08","0.66","0.27","0.49"
"45100798","3152","162","352","23","7","2.89",\N,"0.01","0.37","0.05","0.45"
"45110939","56","66","249","2","0","28.10","0.20","0.08","0.12","0.39","1.05"
"45307775","6131","488","366","1058","10","2.34",\N,"0.30","0.04","0.13","0.60"
"45314390","1901","61","173","42","1","47.46",\N,"0.02","0.05","0.06","0.42"
"45399578","104","26","281","2","0","49.65","0.02","0.00","0.82","0.48","1.10"
"45434489","511","99","110","0","4","5.72","0.27","0.03","0.47","0.54","1.03"
"45529357","3902","290","347","918","12","5.34",\N,"0.08","0.63","0.38","1.38"
"45562154","216","45","94","4","0","52.26","0.12","0.00","0.53","0.39","0.58"
"45603460","17","11","23","0","2","128.41","0.00","0.00","0.24","0.18","0.29"
"45778279","4357","231","152","90","0","72.67",\N,"0.03","0.20","0.43","0.74"
"46137662","18810","685","688","12","29","382.76",\N,"0.12","0.17","0.17","0.50"
"46334699","3302","370","934","103","7","16.48",\N,"0.04","0.81","0.40","0.91"
"47081262","291","89","182","28","4","35.37","0.15","0.01","0.41","0.51","0.96"
"47588692","24602","1510","1058","60","50","3.45","0.67","0.32","0.25","0.09","1.08"
"47610275","101","36","115","0","0","2.21","0.09","0.01","0.43","0.34","0.73"
"47612213","160","23","227","1","0","80.73",\N,"0.01","0.41","0.51","1.28"
"47637732","2391","239","489","703","1","38.79","0.01","0.01","0.16","0.37","1.04"
"47708690","711","197","859","6","4","21.93","0.06","0.03","0.47","0.26","0.36"
"48034707","6002","272","336","0","15","2.62",\N,"0.01","0.39","0.13","0.59"
"48182327","1781","105","427","234","0","16.02",\N,"0.05","0.52","0.39","0.94"
"48652450","1184","75","138","0","0","31.73",\N,"0.01","0.09","0.74","0.05"
"48665791","14835","373","874","451","1","19.57",\N,"0.03","0.16","0.73","0.22"
"48989220","13159","501","697","79","11","13.19",\N,"0.31","0.28","0.02","0.69"
"49044510","280","50","1273","8","1","28.87",\N,"0.03","0.89","0.25","0.95"
"49319803","5237","245","241","115","4","23.82",\N,"0.02","0.73","0.31","0.81"
"49341424","611","87","173","1","1","1364.23",\N,"0.03","0.31","0.12","1.08"
"49683347","5","2","4","0","0","0.00","0.00","0.00","0.20","0.00","0.80"
"49726434","136","150","231","0","2","6.80","0.07","0.01","0.19","0.55","0.18"
"49934607","835","111","768","36","0","49.95",\N,"0.04","0.55","0.15","1.01"
"49951518","638","67","159","9","0","147.83","0.29","0.01","0.27","0.40","0.95"
"49961511","136","20","76","1","0","0.13","0.00","0.00","1.09","0.54","0.10"
"49977491","1187","44","136","19","1","46.98",\N,"0.01","0.35","0.47","0.53"
"50571065","2185","74","345","32","1","313.00",\N,"0.03","0.30","0.19","1.13"
"50585331","148","249","548","1","1","19.52",\N,"0.08","1.01","0.12","0.50"
"50589337","1073","89","237","53","1","12.03",\N,"0.02","0.35","0.73","0.20"
"50594775","133","90","338","2","2","6155.56","0.19","0.02","0.61","0.23","0.82"
"50598277","127","23","152","1","0","33.07",\N,"0.03","0.50","0.26","1.00"
"50606585","14527","442","523","58","16","20.16","0.21","0.09","0.58","0.09","0.60"
"50619779","1601","147","405","9","3","8.41",\N,"0.01","0.18","0.27","0.52"
"50650272","270","95","133","13","1","21.61","0.18","0.05","1.12","0.14","0.58"
"50972738","704","129","380","12","0","14.88",\N,"0.10","0.54","0.10","1.38"
"51005435","57","76","650","0","0","400.07",\N,"0.00","0.61","0.30","1.31"
"51015996","552","80","290","11","1","33.95",\N,"0.01","0.38","0.38","0.68"
"51037293","4862","116","160","98","2","12.48",\N,"0.05","0.49","0.12","1.10"
"51065893","1308","75","281","86","0","43.78","0.07","0.05","0.70","0.20","0.80"
"51150318","1652","412","1974","4","3","20.42",\N,"0.01","0.41","0.46","1.40"
"51169895","3994","675","373","35","45","75.96","0.33","0.20","0.21","0.23","0.89"
"51484684","2074","143","371","22","2","3.05","0.03","0.06","0.35","0.04","0.19"
"51738765","1786","63","185","342","2","35.27",\N,"0.06","0.53","0.23","0.77"
"51780170","238","45","99","39","0","29.95",\N,"0.04","0.64","0.41","0.33"
"52108988","10954","314","148","149","8","67.89",\N,"0.04","0.19","0.38","0.55"
"52140322","31","59","211","5","1","1.13","0.03","0.32","0.39","0.97","1.39"
"52157135","764","99","226","22","0","4.00",\N,"0.02","0.93","0.16","0.38"
"52491055","12197","415","382","116","21","131.22",\N,"0.01","0.36","0.05","0.22"
"53025684","5745","641","1221","95","5","7.38",\N,"0.11","0.48","0.04","0.94"
"53027768","2703","170","635","4","0","63.01",\N,"0.00","0.43","0.27","0.92"
"53400463","803","485","802","21","5","3.30","0.06","0.01","0.40","0.61","0.35"
"53621838","2683","57","215","82","0","86.08",\N,"0.00","0.33","0.58","0.89"
"54556442","2064","238","590","26","5","43.49",\N,"0.02","0.75","0.23","0.71"
"54691030","709","116","112","124","2","4.64",\N,"0.07","0.15","0.12","0.43"
"54864334","2893","160","227","71","4","12.89",\N,"0.04","0.44","0.28","0.56"
"54867711","1425","83","70","616","1","22.78",\N,"0.04","0.43","0.24","1.38"
"54911584","246","333","1598","10","0","2.41",\N,"0.05","0.52","0.16","0.83"
"55532545","4375","521","487","27","2","0.87",\N,"0.33","0.39","0.03","0.54"
"55550359","519","139","454","17","3","55.38",\N,"0.03","0.62","0.30","0.79"
"55590832","1876","120","146","112","0","45.58",\N,"0.03","1.38","0.20","0.58"
"55819049","13774","254","192","520","5","14.11",\N,"0.18","0.50","0.17","0.77"
"56326516","16195","5027","5530","6698","73","17.79",\N,"0.11","0.92","0.34","1.74"
"56336047","1929","231","365","85","3","12.83","0.21","0.13","0.50","0.36","0.66"
"56345134","3885","2812","1988","966","45","20.78",\N,"0.28","0.75","0.54","1.14"
"56466070","9147","100","162","369","4","101.66",\N,"0.02","0.65","0.28","0.97"
"56662794","80","54","187","46","1","10493.65",\N,"0.00","0.52","0.19","0.80"
"56697655","2146","76","156","39","1","35.10",\N,"0.02","0.33","0.21","0.30"
"56706947","684","65","281","1","0","33.04",\N,"0.02","0.65","0.37","1.43"
"56966762","351","28","76","3","1","18.88",\N,"0.01","0.22","0.36","0.50"
"57365720","6351","98","75","127","4","39.36",\N,"0.02","0.64","0.38","1.05"
"57573169","6038","3398","1905","8","117","3.35","0.84","0.32","0.02","0.25","0.86"
"57928664","9372","179","723","87","0","60.83",\N,"0.04","0.22","0.16","1.06"
"58017998","532","22","237","1","0","30.63","0.07","0.00","0.07","0.09","1.10"
"58436154","92","36","82","6","1","173.16","0.08","0.01","0.38","0.19","0.38"
"59083826","537","117","552","4","1","1606.32",\N,"0.01","0.83","0.48","0.84"
"59402800","446","84","418","4","1","1906.53",\N,"0.00","0.86","0.24","0.54"
"60340425","196","14","28","2","0","2.48","0.01","0.01","0.61","0.77","0.38"
"60490488","1364","1735","900","3","71","8.57","0.23","0.21","1.14","0.42","0.68"
"60508255","5999","258","770","14","2","2.13",\N,"0.03","0.36","0.55","0.89"
"61198155","11156","148","104","18","5","80.05",\N,"0.01","0.21","0.10","0.78"
"61452320","139","53","53","0","1","23.54",\N,"0.05","0.94","0.36","0.40"
"61513445","567","77","171","6","0","23.55",\N,"0.03","0.60","0.02","0.75"
"61728897","49","40","98","15","6","11.00","0.00","0.02","0.49","0.39","0.41"
"61794519","77","14","18","1","1","32.89",\N,"0.04","0.75","0.18","0.89"
"62017536","235","78","152","55","0","755.37",\N,"0.05","0.76","0.20","0.88"
"62364690","25575","1672","802","2329","52","5.00",\N,"0.44","0.24","0.17","0.90"
"63501503","96","29","95","2","0","4.40","0.04","0.00","0.56","0.26","0.35"
"63517006","120","62","183","27","0","19.04",\N,"0.07","0.10","0.11","0.80"
"63822625","1130","88","111","97","4","247.05",\N,"0.03","0.31","0.23","0.51"
"64967572","79876","473","299","203","16","29.16",\N,"0.05","0.11","0.34","0.94"
"65402914","1070","218","569","214","8","30.60","0.13","0.01","0.46","0.07","0.68"
"66092090","613","46","105","46","0","33.71",\N,"0.03","0.41","0.12","0.31"
"67002064","4288","126","199","5","1","44.81",\N,"0.01","0.32","0.08","1.03"
"67006908","3896","369","250","20","10","7.04",\N,"0.03","0.67","0.30","1.27"
"67253599","3178","294","383","39","9","0.81","0.25","0.15","0.28","0.32","0.50"
"67887304","1119","379","1565","104","1","830.91","0.04","0.05","0.42","0.43","0.48"
"68123840","51","29","32","0","2","1.31","0.08","0.00","0.10","0.88","0.33"
"68800287","32","36","201","0","0","12.08","0.00","0.00","0.17","0.63","0.96"
"68940614","424","32","134","4","0","35.74","0.02","0.01","0.48","0.37","0.67"
"69575984","71","71","215","1","1","7.36","0.03","0.03","0.14","1.03","0.34"
"69654626","44","4","12","1","1","0.23",\N,"0.00","0.73","0.16","0.50"
"69843045","2277","150","536","33","5","63.60",\N,"0.02","0.60","0.13","1.07"
"69892452","326","444","620","1524","1","17.68",\N,"0.24","0.92","0.14","0.59"
"70228722","399","70","130","15","6","76.55","0.07","0.02","0.10","0.06","0.33"
"70735118","3730","220","282","34","6","5.78",\N,"0.02","0.24","0.14","0.66"
"71295474","2060","100","164","19","0","26.37",\N,"0.02","0.83","0.18","0.70"
"71336448","787","63","161","43","1","8.17",\N,"0.04","0.67","0.11","0.64"
"71366031","640","77","227","13","1","48.60",\N,"0.01","0.92","0.45","0.65"
"71495570","2475","207","356","38","1","408.14",\N,"0.02","0.62","0.39","0.61"
"71522541","1334","94","338","97","0","886.26",\N,"0.01","0.59","0.29","1.09"
"71582266","1349","161","546","1609","5","44.19",\N,"0.00","0.54","0.47","1.07"
"72149178","1533","96","168","46","0","213.46",\N,"0.01","0.38","0.05","0.54"
"72314987","413","42","275","42","0","11.77",\N,"0.01","0.72","0.13","0.94"
"72816504","2185","64","262","173","0","57.48",\N,"0.09","0.42","0.21","1.42"
"72863207","112283","19682","17637","203","760","0.27","0.19","0.20","0.04","0.88","1.03"
"72890647","8713","563","774","6688","11","31.80",\N,"0.42","0.12","0.06","0.96"
"72967193","650","95","139","2","0","21.83",\N,"0.01","0.62","0.14","1.09"
"73627373","2617","128","324","63","3","25.68",\N,"0.04","0.63","0.14","0.85"
"73799359","268","120","429","76","0","474.35",\N,"0.22","0.41","0.10","0.48"
"74147053","1110","179","2000","0","1","29.38",\N,"0.00","0.56","0.36","0.56"
"74156552","4707","1772","1771","23","8","9.82",\N,"0.30","0.50","0.17","0.80"
"74486653","1447","252","667","2","2","17.05",\N,"0.03","2.24","0.48","0.84"
"74544145","3020","516","443","225","3","6.69",\N,"0.05","0.69","0.17","1.22"
"74861616","316","127","373","1","2","60.31","0.08","0.01","0.39","0.43","1.01"
"75270480","302","56","156","12","4","79.58",\N,"0.01","0.27","0.52","0.79"
"75320990","1809","102","392","18","1","232.81",\N,"0.01","0.62","0.32","1.00"
"75386921","271","21","63","8","1","606.71",\N,"0.00","0.52","0.18","0.93"
